Customers,Quantity,Date,Total Payment in TND
Amen Bank (AB),136,2021-11-20,1752496
Amen Bank (AB),77,2006-02-01,948794
Attijari Bank,168,2018-01-22,1762992
Amen Bank (AB),137,2010-09-02,1696608
Arab Banking Corporation (ABC),109,2005-10-04,1236060
Banque de l'Habitat (BH),99,2005-11-06,1801998
Banque Tuniso-Libyenne (BTL),156,2021-07-18,2491008
Arab Banking Corporation (ABC),73,2004-01-04,1106972
Banque Tuniso-Libyenne (BTL),150,2017-06-24,2563050
Banque Internationale Arabe de Tunisie (BIAT),185,2018-04-20,3530170
Banque Tuniso-Libyenne (BTL),66,2014-09-14,850674
Banque Nationale Agricole (BNA),109,2016-06-13,1920035
Arab Banking Corporation (ABC),192,2019-12-31,3168768
Arab Banking Corporation (ABC),70,2002-12-09,843220
La Poste Tunisienne,185,2011-02-03,2569835
Arab Tunisian Bank (ATB),175,2011-12-27,3202850
Arab Tunisian Bank (ATB),151,2012-08-31,2375230
Attijari Bank,158,2014-07-05,3107702
Banque de Tunisie (BT),101,2005-12-01,1686094
Attijari Bank,26,2023-08-07,427518
Banque Nationale Agricole (BNA),59,2021-09-09,942938
Banque Tuniso-Libyenne (BTL),73,2000-07-09,1127777
Banque Internationale Arabe de Tunisie (BIAT),148,2020-11-08,2544712
La Poste Tunisienne,151,2023-07-17,2220908
Banque Nationale Agricole (BNA),135,2011-03-27,2366820
Arab Banking Corporation (ABC),163,2017-01-26,2679394
Banque de l'Habitat (BH),146,2017-09-07,1570668
Banque de l'Habitat (BH),100,2001-03-31,1896100
Banque de Tunisie (BT),148,2017-12-18,1629480
Amen Bank (AB),52,2018-11-12,801476
Banque Tuniso-Libyenne (BTL),20,2009-02-05,293500
La Poste Tunisienne,159,2023-09-18,2737503
Banque Tuniso-Libyenne (BTL),47,2009-07-01,643430
La Poste Tunisienne,69,2017-06-25,1137603
Amen Bank (AB),199,2009-03-09,3397925
Banque Nationale Agricole (BNA),37,2021-03-12,438265
Attijari Bank,103,2020-02-20,2042799
Arab Tunisian Bank (ATB),192,2007-04-09,3839232
Arab Tunisian Bank (ATB),137,2014-09-17,1698389
Banque de l'Habitat (BH),96,2012-08-12,1139904
La Poste Tunisienne,157,2003-10-08,2043355
Attijari Bank,144,2009-02-12,2430720
Banque Tuniso-Libyenne (BTL),139,2002-03-28,2416793
Arab Banking Corporation (ABC),143,2002-11-23,1653795
Arab Banking Corporation (ABC),173,2020-03-20,2352800
Attijari Bank,176,2020-05-17,3217104
Banque Nationale Agricole (BNA),115,2009-11-06,1913830
Attijari Bank,106,2004-04-27,1653388
Banque de l'Habitat (BH),113,2006-10-16,1598385
La Poste Tunisienne,116,2005-11-29,1836512
La Poste Tunisienne,58,2002-06-21,714560
Attijari Bank,49,2004-11-24,717752
Banque Nationale Agricole (BNA),70,2000-09-26,729330
Banque Internationale Arabe de Tunisie (BIAT),131,2020-09-06,1427114
La Poste Tunisienne,178,2014-03-01,1978470
Banque Tuniso-Libyenne (BTL),125,2017-07-22,2486250
Banque Tuniso-Libyenne (BTL),34,2006-01-28,526218
Banque de Tunisie (BT),123,2001-01-22,2378820
Banque Tuniso-Libyenne (BTL),57,2009-12-11,954864
Amen Bank (AB),152,2017-05-10,2979504
Attijari Bank,125,2020-11-03,2029625
Banque Nationale Agricole (BNA),79,2017-07-31,1388662
La Poste Tunisienne,40,2017-01-03,485120
Arab Tunisian Bank (ATB),171,2022-06-16,1793619
Attijari Bank,36,2006-10-10,542124
La Poste Tunisienne,72,2018-10-21,1023336
Banque de Tunisie (BT),42,2020-12-12,822990
Banque de l'Habitat (BH),26,2000-06-24,403130
Banque Internationale Arabe de Tunisie (BIAT),44,2011-12-31,520916
Attijari Bank,47,2010-06-04,786733
La Poste Tunisienne,107,2008-03-15,1719276
La Poste Tunisienne,62,2002-08-10,1063672
Banque Nationale Agricole (BNA),154,2005-12-18,2250864
Banque Tuniso-Libyenne (BTL),177,2009-09-07,3341052
Arab Tunisian Bank (ATB),153,2003-01-24,2137410
Banque Nationale Agricole (BNA),129,2001-01-06,1990857
Banque de Tunisie (BT),91,2008-07-07,1636999
Banque de Tunisie (BT),20,2013-08-01,235160
Banque Nationale Agricole (BNA),94,2001-06-23,1184682
Banque de Tunisie (BT),64,2022-04-26,1141376
Amen Bank (AB),146,2006-10-13,2281104
Banque de Tunisie (BT),91,2007-08-02,1560832
Banque Tuniso-Libyenne (BTL),193,2008-08-25,2774761
Banque Tuniso-Libyenne (BTL),183,2001-01-08,3511038
Banque Internationale Arabe de Tunisie (BIAT),21,2023-09-11,386841
La Poste Tunisienne,156,2012-10-18,2601300
Arab Banking Corporation (ABC),47,2020-07-20,624019
Banque Tuniso-Libyenne (BTL),127,2002-09-06,2389251
Banque Internationale Arabe de Tunisie (BIAT),49,2019-01-10,861028
Banque Internationale Arabe de Tunisie (BIAT),58,2007-06-30,1097650
Arab Banking Corporation (ABC),35,2004-06-24,600390
Amen Bank (AB),63,2013-01-23,944496
Banque Internationale Arabe de Tunisie (BIAT),63,2022-11-30,661941
Arab Tunisian Bank (ATB),79,2000-09-25,1169121
Banque de Tunisie (BT),32,2001-03-23,338528
Banque Nationale Agricole (BNA),32,2018-12-29,375552
La Poste Tunisienne,190,2022-03-13,2222240
Arab Banking Corporation (ABC),40,2007-11-30,711440
La Poste Tunisienne,187,2022-03-21,2243813
Banque de Tunisie (BT),196,2007-08-06,2753604
Amen Bank (AB),56,2015-12-08,672392
Banque Internationale Arabe de Tunisie (BIAT),59,2008-09-16,1084184
Arab Banking Corporation (ABC),74,2011-12-04,978058
Attijari Bank,150,2002-03-14,2085450
Banque Tuniso-Libyenne (BTL),158,2002-05-01,2560232
Banque de Tunisie (BT),169,2005-03-15,2792218
Attijari Bank,57,2023-12-11,935940
Banque Tuniso-Libyenne (BTL),176,2013-05-29,2761792
Banque Nationale Agricole (BNA),178,2002-08-03,2855476
Banque Nationale Agricole (BNA),55,2008-07-23,832370
Arab Banking Corporation (ABC),40,2016-10-16,601640
La Poste Tunisienne,122,2022-01-16,2123166
Banque de Tunisie (BT),199,2002-06-17,2631178
Attijari Bank,100,2016-08-09,1307300
Attijari Bank,51,2006-09-20,558603
Amen Bank (AB),20,2011-02-03,279900
Banque de l'Habitat (BH),36,2002-04-22,466272
Attijari Bank,42,2014-06-12,426594
Amen Bank (AB),63,2022-10-11,656397
Amen Bank (AB),102,2003-08-17,1215534
Banque Tuniso-Libyenne (BTL),134,2016-03-22,2357596
Banque Nationale Agricole (BNA),146,2004-03-10,1753460
Banque Internationale Arabe de Tunisie (BIAT),50,2009-11-10,604500
Banque de Tunisie (BT),141,2009-04-19,1493472
Banque de l'Habitat (BH),85,2004-09-18,1575475
Amen Bank (AB),58,2017-07-16,924810
Attijari Bank,58,2001-01-06,1000326
Arab Tunisian Bank (ATB),103,2004-09-25,1653665
Banque Tuniso-Libyenne (BTL),126,2006-06-11,2080386
Attijari Bank,73,2013-05-12,910529
Attijari Bank,175,2007-06-20,3017350
Banque Tuniso-Libyenne (BTL),34,2006-11-29,648652
La Poste Tunisienne,66,2010-10-05,681846
Arab Banking Corporation (ABC),133,2013-03-17,1686972
Banque Tuniso-Libyenne (BTL),73,2014-07-09,1214355
Banque Nationale Agricole (BNA),145,2012-07-26,2435710
Banque Nationale Agricole (BNA),197,2013-02-26,2012749
Banque Nationale Agricole (BNA),37,2007-04-25,709031
Arab Tunisian Bank (ATB),169,2003-07-27,2499003
Banque Nationale Agricole (BNA),37,2013-04-26,502756
Banque de l'Habitat (BH),151,2008-11-07,1756734
Arab Tunisian Bank (ATB),55,2017-06-07,1046265
La Poste Tunisienne,162,2009-07-22,1803708
Banque Internationale Arabe de Tunisie (BIAT),135,2013-01-28,1797525
Banque Tuniso-Libyenne (BTL),64,2017-07-18,987200
Arab Banking Corporation (ABC),56,2012-06-27,729624
Banque Internationale Arabe de Tunisie (BIAT),24,2016-03-29,338208
La Poste Tunisienne,86,2018-11-09,1096070
Arab Banking Corporation (ABC),140,2003-12-16,2406180
Banque Nationale Agricole (BNA),127,2002-06-24,1476883
Amen Bank (AB),63,2014-10-25,1238643
Banque Internationale Arabe de Tunisie (BIAT),90,2015-11-10,1579050
Banque Tuniso-Libyenne (BTL),54,2007-12-12,973242
Arab Tunisian Bank (ATB),51,2012-10-30,936258
Banque Internationale Arabe de Tunisie (BIAT),86,2020-01-08,1384428
La Poste Tunisienne,125,2001-09-20,1779625
Banque Tuniso-Libyenne (BTL),118,2014-07-27,1384848
Banque Nationale Agricole (BNA),189,2010-10-29,2797578
Banque Nationale Agricole (BNA),56,2006-07-10,703640
Banque de Tunisie (BT),181,2011-09-27,2419427
Banque Nationale Agricole (BNA),77,2001-01-17,773850
La Poste Tunisienne,70,2014-12-09,1317050
Arab Tunisian Bank (ATB),44,2008-02-15,816024
Banque de l'Habitat (BH),79,2005-10-04,1041062
La Poste Tunisienne,120,2009-11-09,1584240
Amen Bank (AB),20,2023-01-27,263680
Banque Tuniso-Libyenne (BTL),118,2022-01-22,1470988
Attijari Bank,84,2015-05-21,1146600
Banque de Tunisie (BT),154,2015-03-02,1561406
La Poste Tunisienne,88,2016-08-31,1660296
La Poste Tunisienne,173,2003-06-11,2213535
Attijari Bank,50,2020-05-15,682400
Banque Nationale Agricole (BNA),43,2012-10-01,658201
Banque de l'Habitat (BH),101,2001-07-04,1059288
Arab Banking Corporation (ABC),114,2011-02-04,1589502
Arab Banking Corporation (ABC),183,2002-03-08,2405535
Amen Bank (AB),78,2005-03-04,1219764
Attijari Bank,59,2009-11-28,725523
Banque Tuniso-Libyenne (BTL),146,2006-09-19,2790644
Arab Banking Corporation (ABC),170,2021-07-23,2766750
Arab Tunisian Bank (ATB),40,2018-11-04,430680
Banque de Tunisie (BT),176,2021-05-14,2689632
Arab Tunisian Bank (ATB),193,2008-12-28,3097843
Banque Internationale Arabe de Tunisie (BIAT),82,2016-11-02,1116758
Banque de l'Habitat (BH),196,2012-01-24,2210292
Banque de l'Habitat (BH),87,2004-05-07,1272984
Amen Bank (AB),135,2010-02-23,2652885
Arab Banking Corporation (ABC),141,2005-05-23,1972026
Attijari Bank,35,2002-05-24,687435
Banque Tuniso-Libyenne (BTL),104,2007-03-08,1849432
Banque Internationale Arabe de Tunisie (BIAT),27,2014-02-12,481437
Banque Nationale Agricole (BNA),133,2019-12-24,2057244
Banque de l'Habitat (BH),172,2020-05-28,2720352
Banque de l'Habitat (BH),92,2019-11-29,1673204
Banque Nationale Agricole (BNA),138,2001-04-19,1416708
Banque Internationale Arabe de Tunisie (BIAT),36,2023-03-20,439704
Arab Tunisian Bank (ATB),147,2000-12-26,1882188
Banque de l'Habitat (BH),55,2009-02-27,736890
Arab Banking Corporation (ABC),185,2019-09-15,3671325
Amen Bank (AB),93,2013-06-18,1388583
Banque Internationale Arabe de Tunisie (BIAT),175,2023-02-05,2244725
Attijari Bank,80,2022-02-25,1355200
Arab Tunisian Bank (ATB),161,2019-09-20,1666189
Arab Banking Corporation (ABC),50,2010-01-01,863100
La Poste Tunisienne,177,2019-11-25,2143470
Banque Internationale Arabe de Tunisie (BIAT),42,2006-06-12,802662
Banque de Tunisie (BT),138,2018-03-30,2268444
Arab Banking Corporation (ABC),83,2015-02-16,1406269
Banque Tuniso-Libyenne (BTL),192,2011-07-18,2067648
Arab Tunisian Bank (ATB),84,2010-09-30,1479408
Banque de l'Habitat (BH),137,2016-11-18,1701951
Attijari Bank,44,2015-10-06,489148
Arab Banking Corporation (ABC),59,2013-11-11,1068608
Banque de l'Habitat (BH),62,2017-11-10,662098
La Poste Tunisienne,196,2018-03-02,3636584
Arab Tunisian Bank (ATB),196,2013-10-05,3639524
Banque Internationale Arabe de Tunisie (BIAT),118,2012-06-07,2113026
Attijari Bank,187,2001-10-02,3552439
La Poste Tunisienne,38,2010-05-22,741912
Arab Banking Corporation (ABC),33,2017-06-26,527340
Amen Bank (AB),137,2011-10-31,1873338
Arab Tunisian Bank (ATB),145,2014-10-31,2357555
Banque de Tunisie (BT),47,2020-06-25,867056
Amen Bank (AB),199,2017-11-20,3081714
Banque Nationale Agricole (BNA),172,2005-09-30,1827156
Arab Banking Corporation (ABC),119,2015-11-03,2056082
Attijari Bank,43,2015-01-30,712983
Arab Banking Corporation (ABC),134,2023-03-26,1795064
Banque Tuniso-Libyenne (BTL),76,2008-03-27,1358196
Arab Banking Corporation (ABC),166,2002-06-25,3053404
Banque de l'Habitat (BH),185,2018-05-05,3037515
Banque Tuniso-Libyenne (BTL),37,2011-11-08,537573
Banque de Tunisie (BT),192,2020-05-05,2299392
La Poste Tunisienne,162,2011-06-23,2221344
Banque de Tunisie (BT),134,2014-02-09,1389982
Banque de l'Habitat (BH),143,2023-10-27,2084368
Banque de l'Habitat (BH),76,2017-07-27,821256
Attijari Bank,76,2014-09-17,861308
Banque de l'Habitat (BH),81,2023-11-07,1191591
Arab Banking Corporation (ABC),119,2005-03-30,2094162
Amen Bank (AB),154,2018-04-19,1953028
Banque de Tunisie (BT),58,2017-06-23,623848
Arab Tunisian Bank (ATB),75,2002-04-01,1036950
Attijari Bank,157,2022-02-28,3086777
Banque Internationale Arabe de Tunisie (BIAT),191,2001-06-04,3651156
Amen Bank (AB),26,2009-09-14,353756
Attijari Bank,179,2014-02-18,3296822
Banque de l'Habitat (BH),82,2016-03-06,845420
Banque de Tunisie (BT),167,2003-07-09,3265017
Banque de l'Habitat (BH),64,2009-10-19,1234368
Banque de Tunisie (BT),63,2004-02-24,988911
Banque Nationale Agricole (BNA),75,2013-08-15,1195950
Amen Bank (AB),178,2011-08-26,3295492
Banque Internationale Arabe de Tunisie (BIAT),146,2015-07-15,2414256
Banque de Tunisie (BT),26,2019-07-02,362986
Attijari Bank,154,2008-04-23,1586662
Banque Nationale Agricole (BNA),164,2002-01-06,1874028
Banque de Tunisie (BT),122,2011-10-17,1901492
Amen Bank (AB),199,2008-03-08,2699833
Amen Bank (AB),84,2011-04-27,1452780
La Poste Tunisienne,151,2014-03-25,1820305
Banque Tuniso-Libyenne (BTL),33,2011-03-09,600006
Banque Tuniso-Libyenne (BTL),99,2006-05-25,1355904
Banque de Tunisie (BT),50,2021-01-24,735850
Banque de l'Habitat (BH),99,2016-02-22,1975644
Amen Bank (AB),32,2007-02-26,533120
Arab Tunisian Bank (ATB),147,2018-11-24,1837647
Arab Tunisian Bank (ATB),113,2019-09-25,2087223
Arab Tunisian Bank (ATB),62,2000-10-24,1141544
Arab Tunisian Bank (ATB),197,2017-10-16,3645485
Amen Bank (AB),34,2003-05-01,455464
Banque Internationale Arabe de Tunisie (BIAT),151,2017-07-14,1736198
Banque Internationale Arabe de Tunisie (BIAT),78,2005-01-17,1038024
Banque Tuniso-Libyenne (BTL),69,2012-04-07,1158165
Attijari Bank,158,2015-04-02,3120500
Arab Tunisian Bank (ATB),77,2016-01-13,1168398
Banque de l'Habitat (BH),87,2020-12-06,1292646
Banque Nationale Agricole (BNA),33,2012-02-11,552024
Banque Tuniso-Libyenne (BTL),155,2004-03-29,2532700
Banque Tuniso-Libyenne (BTL),131,2009-05-01,1362662
Arab Tunisian Bank (ATB),36,2007-02-16,635832
Banque de l'Habitat (BH),49,2001-01-15,626465
La Poste Tunisienne,90,2021-09-14,1760850
Banque de l'Habitat (BH),73,2008-07-22,837383
Banque Tuniso-Libyenne (BTL),114,2006-07-04,1996482
Arab Tunisian Bank (ATB),63,2006-10-12,786870
Banque Tuniso-Libyenne (BTL),149,2018-05-10,1664777
Amen Bank (AB),156,2017-03-09,2190240
Arab Banking Corporation (ABC),173,2022-06-11,2598114
Banque Internationale Arabe de Tunisie (BIAT),79,2010-04-21,1497208
Attijari Bank,153,2004-02-06,1546371
Banque Internationale Arabe de Tunisie (BIAT),170,2000-11-04,2809080
Amen Bank (AB),71,2005-05-07,725904
Banque Nationale Agricole (BNA),153,2014-07-30,1856655
Arab Tunisian Bank (ATB),134,2002-12-23,2586066
Attijari Bank,120,2014-11-16,2275200
Banque Internationale Arabe de Tunisie (BIAT),169,2006-06-11,1996397
Amen Bank (AB),40,2020-01-25,612080
Attijari Bank,153,2019-08-17,2936835
Banque de l'Habitat (BH),146,2005-12-18,1497376
Banque de Tunisie (BT),103,2018-07-19,1666746
Banque Internationale Arabe de Tunisie (BIAT),34,2001-04-09,577796
La Poste Tunisienne,66,2003-01-27,790020
Amen Bank (AB),95,2016-06-20,1043670
Banque Tuniso-Libyenne (BTL),66,2022-07-22,1112166
Arab Banking Corporation (ABC),155,2014-12-18,2780235
Arab Tunisian Bank (ATB),153,2013-07-20,1555551
Arab Tunisian Bank (ATB),166,2013-03-16,3002442
Attijari Bank,40,2019-09-26,744280
La Poste Tunisienne,156,2007-01-18,2359812
Banque Nationale Agricole (BNA),37,2005-10-08,527398
Banque Internationale Arabe de Tunisie (BIAT),77,2020-11-16,1193038
Banque Tuniso-Libyenne (BTL),55,2014-06-19,1010570
Banque Internationale Arabe de Tunisie (BIAT),115,2015-02-02,1357000
Attijari Bank,116,2014-03-15,2135560
Banque de Tunisie (BT),38,2001-12-10,385054
Banque de Tunisie (BT),116,2019-12-05,2081156
Banque de Tunisie (BT),147,2015-06-01,1957599
Arab Banking Corporation (ABC),72,2019-07-14,1386072
Banque Internationale Arabe de Tunisie (BIAT),76,2000-12-24,1491576
Banque Tuniso-Libyenne (BTL),165,2018-02-28,2175855
Banque Internationale Arabe de Tunisie (BIAT),59,2015-03-30,715552
Banque Nationale Agricole (BNA),51,2000-09-07,950283
Arab Banking Corporation (ABC),190,2004-08-22,2819600
Banque de l'Habitat (BH),155,2006-04-15,1948660
Banque de l'Habitat (BH),114,2012-03-30,1461594
Banque Nationale Agricole (BNA),88,2002-11-10,1605296
Banque Tuniso-Libyenne (BTL),86,2022-09-15,1404208
Arab Tunisian Bank (ATB),79,2008-04-07,1337154
Banque Tuniso-Libyenne (BTL),58,2008-07-05,881658
Amen Bank (AB),148,2014-10-07,2705736
La Poste Tunisienne,32,2022-06-13,569472
Arab Tunisian Bank (ATB),143,2015-02-20,2090088
Banque de Tunisie (BT),194,2004-03-29,3369392
Banque de Tunisie (BT),53,2014-05-07,964971
Amen Bank (AB),187,2000-10-07,3620881
Banque Nationale Agricole (BNA),128,2014-06-28,2016000
Arab Tunisian Bank (ATB),33,2023-09-09,617826
Amen Bank (AB),27,2017-07-28,320787
La Poste Tunisienne,149,2013-05-22,2932022
Arab Banking Corporation (ABC),182,2003-08-25,2646644
Attijari Bank,39,2002-11-02,407667
Banque Nationale Agricole (BNA),91,2019-11-26,1054326
Attijari Bank,170,2011-08-14,1878670
Banque Nationale Agricole (BNA),51,2010-12-29,827934
Arab Tunisian Bank (ATB),182,2006-05-30,1950494
Banque Nationale Agricole (BNA),59,2009-03-29,1043769
La Poste Tunisienne,157,2010-08-29,2444176
Amen Bank (AB),114,2020-01-10,1308834
Amen Bank (AB),155,2018-06-02,2728310
Banque Internationale Arabe de Tunisie (BIAT),43,2001-09-26,515269
Banque Tuniso-Libyenne (BTL),123,2007-05-19,2156559
Banque de Tunisie (BT),143,2020-01-15,2683967
La Poste Tunisienne,54,2013-09-06,882360
Arab Tunisian Bank (ATB),58,2017-11-24,1034430
Attijari Bank,93,2005-08-22,1616247
Arab Tunisian Bank (ATB),120,2013-03-26,1539480
Banque de l'Habitat (BH),43,2023-03-15,494328
Banque de l'Habitat (BH),120,2002-04-02,2204040
Banque Nationale Agricole (BNA),148,2011-04-24,2941648
Amen Bank (AB),191,2017-07-18,2765680
Banque Tuniso-Libyenne (BTL),188,2000-10-20,3004992
Arab Banking Corporation (ABC),58,2007-05-26,785900
Arab Tunisian Bank (ATB),98,2017-06-21,1096522
Banque de Tunisie (BT),185,2018-10-23,3466900
Amen Bank (AB),71,2001-03-21,1044268
La Poste Tunisienne,94,2009-08-01,1505974
Banque Nationale Agricole (BNA),197,2009-08-21,3046605
Banque de Tunisie (BT),171,2020-08-11,2321496
Banque de Tunisie (BT),97,2007-11-17,1030625
Attijari Bank,49,2015-05-29,577857
Amen Bank (AB),177,2015-01-08,2132319
Amen Bank (AB),177,2010-10-05,2465079
Amen Bank (AB),134,2000-08-11,1864208
Banque Tuniso-Libyenne (BTL),89,2004-12-27,1373537
Banque Internationale Arabe de Tunisie (BIAT),79,2007-01-03,984972
Arab Banking Corporation (ABC),167,2006-04-18,2090506
Banque de Tunisie (BT),148,2022-05-30,2150292
La Poste Tunisienne,149,2017-08-07,2276124
Banque Internationale Arabe de Tunisie (BIAT),55,2004-03-23,796730
Banque de Tunisie (BT),107,2020-07-17,1085194
Banque de Tunisie (BT),130,2011-02-03,1638910
Banque de l'Habitat (BH),48,2017-01-17,785472
Arab Tunisian Bank (ATB),161,2015-07-27,2511922
Banque Tuniso-Libyenne (BTL),24,2002-01-20,321384
Banque de l'Habitat (BH),65,2008-04-21,682565
Amen Bank (AB),110,2017-01-12,1941060
Arab Tunisian Bank (ATB),124,2017-05-03,2208192
Banque Internationale Arabe de Tunisie (BIAT),51,2004-09-27,656472
Banque de Tunisie (BT),111,2012-02-14,1522809
La Poste Tunisienne,63,2014-07-06,1194606
Banque de l'Habitat (BH),70,2018-10-06,741440
Arab Tunisian Bank (ATB),160,2016-12-03,2078240
Banque de Tunisie (BT),189,2017-10-02,2101491
Attijari Bank,74,2004-03-14,1128574
Arab Tunisian Bank (ATB),101,2004-12-28,1705385
Banque de l'Habitat (BH),102,2015-12-14,1595790
Arab Tunisian Bank (ATB),107,2022-04-14,1428022
Banque de l'Habitat (BH),26,2010-08-06,327418
Attijari Bank,80,2002-11-29,1120160
Arab Tunisian Bank (ATB),49,2020-03-05,865242
Attijari Bank,80,2007-07-22,1132880
La Poste Tunisienne,120,2019-08-01,1367280
Arab Tunisian Bank (ATB),64,2019-06-22,839616
Arab Banking Corporation (ABC),66,2001-10-30,818268
Banque de Tunisie (BT),38,2012-12-25,619096
Banque de Tunisie (BT),111,2000-08-28,1467864
La Poste Tunisienne,54,2022-01-31,840672
La Poste Tunisienne,123,2022-08-26,2287185
La Poste Tunisienne,181,2020-02-18,2877176
Amen Bank (AB),150,2003-02-11,2737800
Attijari Bank,91,2012-05-03,1038037
Banque Internationale Arabe de Tunisie (BIAT),176,2012-06-24,2127312
Amen Bank (AB),38,2007-02-13,721088
Attijari Bank,163,2016-09-18,2514275
Arab Tunisian Bank (ATB),109,2013-05-06,1766781
Banque Tuniso-Libyenne (BTL),175,2018-07-13,2462950
Banque Nationale Agricole (BNA),113,2000-10-10,1891055
Banque Internationale Arabe de Tunisie (BIAT),175,2016-10-30,3244675
Banque Tuniso-Libyenne (BTL),130,2001-09-21,1346020
Banque Internationale Arabe de Tunisie (BIAT),27,2013-02-03,455463
Arab Banking Corporation (ABC),125,2023-05-31,1704875
Amen Bank (AB),190,2013-11-04,3522220
Banque Tuniso-Libyenne (BTL),56,2017-07-25,1077720
Arab Tunisian Bank (ATB),102,2017-07-13,1468902
La Poste Tunisienne,53,2017-01-29,797332
Banque Nationale Agricole (BNA),89,2016-01-18,1126206
Banque Nationale Agricole (BNA),80,2020-12-15,1390080
Banque de Tunisie (BT),91,2019-04-07,1208116
Arab Tunisian Bank (ATB),101,2011-06-20,1382791
Banque de Tunisie (BT),154,2019-09-20,2298604
Banque Nationale Agricole (BNA),20,2011-11-29,373560
Banque de Tunisie (BT),31,2003-01-07,523342
Banque Nationale Agricole (BNA),76,2012-06-06,1277028
Amen Bank (AB),28,2005-03-03,337680
Banque de l'Habitat (BH),146,2022-02-21,2587558
La Poste Tunisienne,71,2020-08-25,1147502
Amen Bank (AB),101,2017-08-29,1456319
Banque Internationale Arabe de Tunisie (BIAT),185,2003-10-01,2829390
La Poste Tunisienne,56,2021-05-16,603624
Arab Tunisian Bank (ATB),58,2008-06-08,1151880
Amen Bank (AB),87,2009-01-26,1462209
Banque Tuniso-Libyenne (BTL),25,2012-08-11,391925
Banque de Tunisie (BT),169,2005-09-16,1867450
Banque de l'Habitat (BH),72,2006-06-27,1194696
Arab Tunisian Bank (ATB),96,2023-01-03,1619424
Arab Tunisian Bank (ATB),190,2010-09-14,3010360
Arab Banking Corporation (ABC),154,2013-02-25,2560558
Banque de Tunisie (BT),20,2014-06-24,391320
La Poste Tunisienne,108,2020-01-02,1467936
Banque Internationale Arabe de Tunisie (BIAT),32,2017-07-17,542976
Banque de l'Habitat (BH),75,2012-11-19,1230825
Banque de Tunisie (BT),83,2000-07-18,1525623
Attijari Bank,79,2014-06-13,1389452
Arab Banking Corporation (ABC),136,2003-09-07,2151792
Banque Nationale Agricole (BNA),54,2009-08-30,578826
Banque de Tunisie (BT),106,2023-07-10,2116396
Arab Banking Corporation (ABC),198,2012-10-07,3567960
Banque de Tunisie (BT),77,2005-02-15,795333
Banque Internationale Arabe de Tunisie (BIAT),98,2000-09-16,1235780
Banque Nationale Agricole (BNA),52,2018-03-17,949624
Attijari Bank,44,2009-02-11,510840
La Poste Tunisienne,51,2006-08-03,550800
Banque de Tunisie (BT),96,2015-01-05,1364160
Attijari Bank,87,2010-08-16,1174065
Banque Internationale Arabe de Tunisie (BIAT),110,2019-09-29,1804330
Banque de Tunisie (BT),68,2004-01-13,1094868
Banque Internationale Arabe de Tunisie (BIAT),107,2011-11-27,1640417
Banque Nationale Agricole (BNA),78,2013-05-17,1230294
Banque Tuniso-Libyenne (BTL),30,2012-04-04,415830
Banque Nationale Agricole (BNA),49,2010-04-06,821828
Banque Internationale Arabe de Tunisie (BIAT),181,2020-03-15,2793554
Banque Tuniso-Libyenne (BTL),175,2007-07-01,2698150
Arab Banking Corporation (ABC),41,2017-07-02,682978
Banque Tuniso-Libyenne (BTL),114,2003-10-27,1431840
Banque de Tunisie (BT),99,2022-10-28,1460052
Attijari Bank,141,2006-09-03,1691154
Attijari Bank,171,2003-12-09,2850912
Amen Bank (AB),183,2021-09-02,2715354
Banque de l'Habitat (BH),74,2011-03-15,794242
Arab Banking Corporation (ABC),199,2001-02-08,2257655
Arab Banking Corporation (ABC),198,2004-12-27,2078208
Banque Internationale Arabe de Tunisie (BIAT),44,2002-12-31,827024
Banque Internationale Arabe de Tunisie (BIAT),46,2000-10-14,767004
Banque de Tunisie (BT),48,2015-04-09,693312
Banque de l'Habitat (BH),98,2016-10-23,1726564
La Poste Tunisienne,143,2023-08-31,2035891
Arab Tunisian Bank (ATB),194,2012-01-13,3867972
Arab Banking Corporation (ABC),58,2019-03-16,1096142
Banque Internationale Arabe de Tunisie (BIAT),163,2006-09-26,1746708
Banque Internationale Arabe de Tunisie (BIAT),43,2012-06-20,673079
Banque de Tunisie (BT),114,2015-02-16,1427850
Arab Banking Corporation (ABC),165,2002-04-04,2952675
Banque Tuniso-Libyenne (BTL),78,2002-11-18,1082094
Banque Tuniso-Libyenne (BTL),186,2012-02-16,2051766
Banque de l'Habitat (BH),199,2000-11-18,2263227
Amen Bank (AB),100,2005-11-15,1832900
Banque de l'Habitat (BH),67,2018-01-18,1127744
Banque Nationale Agricole (BNA),30,2001-09-09,430170
Banque de Tunisie (BT),153,2011-12-22,2429793
Banque Internationale Arabe de Tunisie (BIAT),34,2016-04-15,584936
Arab Banking Corporation (ABC),72,2023-04-22,1001880
Banque Tuniso-Libyenne (BTL),49,2014-09-07,583198
Banque Internationale Arabe de Tunisie (BIAT),168,2008-10-19,3003504
Arab Banking Corporation (ABC),23,2012-04-06,400959
Banque de l'Habitat (BH),25,2019-02-06,401700
Banque de Tunisie (BT),170,2022-08-08,2760460
Banque Internationale Arabe de Tunisie (BIAT),87,2004-06-10,1013898
Banque Tuniso-Libyenne (BTL),32,2010-02-02,440672
La Poste Tunisienne,128,2009-07-13,1520768
Banque Internationale Arabe de Tunisie (BIAT),20,2015-05-14,282000
Banque de Tunisie (BT),180,2009-03-07,3101400
