date,bank,town,num_technicians
2020-09-18,Banque Nationale Agricole (BNA),Sousse,8
2020-09-18,Banque Internationale Arabe de Tunisie (BIAT),Tataouine,4
2020-09-18,Amen Bank (AB),Jendouba,3
2020-09-18,Banque Nationale Agricole (BNA),Siliana,3
2020-09-18,Amen Bank (AB),Gabès,6
2020-09-19,Banque Internationale Arabe de Tunisie (BIAT),Kairouan,7
2020-09-19,Arab Tunisian Bank (ATB),Nabeul,7
2020-09-19,Arab Tunisian Bank (ATB),Béja,6
2020-09-20,Arab Banking Corporation (ABC),Kairouan,1
2020-09-20,Arab Banking Corporation (ABC),Siliana,3
2020-09-20,Arab Tunisian Bank (ATB),Mahdia,7
2020-09-20,Banque Tuniso-Libyenne (BTL),Kebili,5
2020-09-20,Arab Tunisian Bank (ATB),Kef,4
2020-09-20,Banque Tuniso-Libyenne (BTL),Kairouan,1
2020-09-21,Banque Nationale Agricole (BNA),Kebili,1
2020-09-21,Banque de l'Habitat (BH),Bizerte,5
2020-09-21,Banque Internationale Arabe de Tunisie (BIAT),Siliana,6
2020-09-21,Banque de Tunisie (BT),Kasserine,7
2020-09-22,Arab Banking Corporation (ABC),Kairouan,6
2020-09-22,Banque de Tunisie (BT),Monastir,4
2020-09-22,Banque Tuniso-Libyenne (BTL),Béja,7
2020-09-22,La Poste Tunisienne,Zaghouan,6
2020-09-22,Banque de l'Habitat (BH),Tozeur,5
2020-09-22,La Poste Tunisienne,Zaghouan,4
2020-09-23,Banque de Tunisie (BT),Gafsa,8
2020-09-23,Banque Internationale Arabe de Tunisie (BIAT),Kairouan,1
2020-09-23,Banque de l'Habitat (BH),Gabès,3
2020-09-23,Banque Internationale Arabe de Tunisie (BIAT),Sidi Bouzid,4
2020-09-23,Amen Bank (AB),Mahdia,2
2020-09-24,Banque Nationale Agricole (BNA),Sfax,2
2020-09-24,Banque Internationale Arabe de Tunisie (BIAT),Sfax,3
2020-09-24,Banque Tuniso-Libyenne (BTL),Kairouan,4
2020-09-24,Amen Bank (AB),Kairouan,2
2020-09-25,Attijari Bank,Siliana,8
2020-09-25,Attijari Bank,Sidi Bouzid,4
2020-09-25,Banque Internationale Arabe de Tunisie (BIAT),Jendouba,3
2020-09-25,Banque de l'Habitat (BH),Béja,8
2020-09-26,Attijari Bank,Medenine,6
2020-09-26,Banque de l'Habitat (BH),Bizerte,1
2020-09-26,Arab Banking Corporation (ABC),Mahdia,6
2020-09-26,Banque Internationale Arabe de Tunisie (BIAT),Zaghouan,4
2020-09-27,La Poste Tunisienne,Tunis,2
2020-09-27,Arab Banking Corporation (ABC),Kasserine,5
2020-09-27,Banque de l'Habitat (BH),Gafsa,5
2020-09-27,Banque Tuniso-Libyenne (BTL),Mahdia,1
2020-09-27,Banque de l'Habitat (BH),Medenine,4
2020-09-28,La Poste Tunisienne,Kef,5
2020-09-28,Amen Bank (AB),Kasserine,5
2020-09-28,Banque Nationale Agricole (BNA),Kef,3
2020-09-28,Arab Banking Corporation (ABC),Sfax,3
2020-09-28,Attijari Bank,Mahdia,5
2020-09-28,La Poste Tunisienne,Gafsa,6
2020-09-29,Arab Banking Corporation (ABC),Tunis,8
2020-09-29,Banque Nationale Agricole (BNA),Medenine,7
2020-09-29,Banque de Tunisie (BT),Sidi Bouzid,5
2020-09-30,Banque Tuniso-Libyenne (BTL),Manouba,3
2020-09-30,Banque Nationale Agricole (BNA),Nabeul,2
2020-09-30,Banque Nationale Agricole (BNA),Kebili,6
2020-10-01,Banque Nationale Agricole (BNA),Tataouine,5
2020-10-01,Banque Internationale Arabe de Tunisie (BIAT),Zaghouan,7
2020-10-01,Amen Bank (AB),Ben Arous,2
2020-10-01,La Poste Tunisienne,Gabès,1
2020-10-01,Attijari Bank,Gabès,8
2020-10-02,Banque Internationale Arabe de Tunisie (BIAT),Sfax,5
2020-10-02,Banque de l'Habitat (BH),Kebili,5
2020-10-02,Attijari Bank,Tataouine,4
2020-10-02,Banque Internationale Arabe de Tunisie (BIAT),Ben Arous,7
2020-10-03,Banque de Tunisie (BT),Zaghouan,5
2020-10-03,Banque de l'Habitat (BH),Ariana,7
2020-10-03,Banque Tuniso-Libyenne (BTL),Ariana,1
2020-10-03,Arab Tunisian Bank (ATB),Mahdia,8
2020-10-03,Arab Tunisian Bank (ATB),Kebili,6
2020-10-03,Banque Tuniso-Libyenne (BTL),Tozeur,7
2020-10-04,Arab Tunisian Bank (ATB),Kebili,8
2020-10-04,Amen Bank (AB),Nabeul,8
2020-10-04,Amen Bank (AB),Kebili,2
2020-10-05,Attijari Bank,Kasserine,1
2020-10-05,Banque Nationale Agricole (BNA),Béja,4
2020-10-05,Amen Bank (AB),Tunis,2
2020-10-05,Banque de Tunisie (BT),Kairouan,8
2020-10-05,La Poste Tunisienne,Jendouba,4
2020-10-05,Banque de Tunisie (BT),Ariana,5
2020-10-05,Banque Internationale Arabe de Tunisie (BIAT),Nabeul,8
2020-10-06,Banque Internationale Arabe de Tunisie (BIAT),Gafsa,2
2020-10-06,Arab Tunisian Bank (ATB),Zaghouan,7
2020-10-06,Attijari Bank,Medenine,6
2020-10-06,Banque de l'Habitat (BH),Tunis,3
2020-10-07,Banque Tuniso-Libyenne (BTL),Bizerte,3
2020-10-07,Banque Internationale Arabe de Tunisie (BIAT),Béja,1
2020-10-07,La Poste Tunisienne,Siliana,3
2020-10-07,Banque Nationale Agricole (BNA),Bizerte,7
2020-10-08,Banque de Tunisie (BT),Ariana,8
2020-10-08,Banque Tuniso-Libyenne (BTL),Sfax,3
2020-10-08,Attijari Bank,Ariana,1
2020-10-08,Arab Tunisian Bank (ATB),Ariana,3
2020-10-08,Banque de l'Habitat (BH),Sidi Bouzid,6
2020-10-08,Banque Tuniso-Libyenne (BTL),Tunis,1
2020-10-08,Banque de l'Habitat (BH),Kairouan,1
2020-10-08,Banque de l'Habitat (BH),Ariana,5
2020-10-09,Banque Nationale Agricole (BNA),Sousse,3
2020-10-09,Banque de Tunisie (BT),Kairouan,1
2020-10-09,Banque de Tunisie (BT),Siliana,7
2020-10-09,La Poste Tunisienne,Mahdia,1
2020-10-10,Banque Nationale Agricole (BNA),Kebili,7
2020-10-10,Attijari Bank,Béja,7
2020-10-10,La Poste Tunisienne,Ben Arous,4
2020-10-10,Arab Banking Corporation (ABC),Nabeul,5
2020-10-10,Banque Tuniso-Libyenne (BTL),Gabès,3
2020-10-11,Arab Banking Corporation (ABC),Sfax,5
2020-10-11,Amen Bank (AB),Monastir,2
2020-10-11,Banque de l'Habitat (BH),Tozeur,2
2020-10-11,Arab Tunisian Bank (ATB),Tataouine,2
2020-10-11,Arab Banking Corporation (ABC),Gabès,4
2020-10-11,Banque Internationale Arabe de Tunisie (BIAT),Medenine,5
2020-10-11,Banque de l'Habitat (BH),Gafsa,6
2020-10-11,Arab Tunisian Bank (ATB),Sousse,2
2020-10-11,Banque Nationale Agricole (BNA),Manouba,7
2020-10-11,Arab Tunisian Bank (ATB),Monastir,3
2020-10-11,Arab Banking Corporation (ABC),Sfax,4
2020-10-11,Banque Nationale Agricole (BNA),Tunis,3
2020-10-11,Amen Bank (AB),Béja,2
2020-10-12,Banque de l'Habitat (BH),Béja,6
2020-10-12,Arab Tunisian Bank (ATB),Sousse,2
2020-10-12,Banque Nationale Agricole (BNA),Bizerte,4
2020-10-12,Banque de l'Habitat (BH),Medenine,3
2020-10-12,Arab Tunisian Bank (ATB),Ben Arous,4
2020-10-13,Arab Tunisian Bank (ATB),Kasserine,5
2020-10-13,Banque Tuniso-Libyenne (BTL),Kairouan,6
2020-10-14,Banque Nationale Agricole (BNA),Kasserine,3
2020-10-14,Amen Bank (AB),Medenine,8
2020-10-14,Amen Bank (AB),Ben Arous,2
2020-10-14,Arab Banking Corporation (ABC),Sfax,2
2020-10-14,Arab Banking Corporation (ABC),Béja,7
2020-10-15,Arab Banking Corporation (ABC),Gabès,5
2020-10-15,Banque de l'Habitat (BH),Kairouan,6
2020-10-15,Amen Bank (AB),Kef,7
2020-10-15,Arab Tunisian Bank (ATB),Gafsa,5
2020-10-15,Banque de l'Habitat (BH),Kairouan,2
2020-10-15,Amen Bank (AB),Kebili,1
2020-10-15,Attijari Bank,Zaghouan,1
2020-10-16,Banque Internationale Arabe de Tunisie (BIAT),Kasserine,6
2020-10-16,Arab Banking Corporation (ABC),Kebili,2
2020-10-16,Amen Bank (AB),Sousse,1
2020-10-16,Attijari Bank,Tozeur,4
2020-10-17,Banque Internationale Arabe de Tunisie (BIAT),Sfax,6
2020-10-17,Amen Bank (AB),Béja,1
2020-10-17,Amen Bank (AB),Mahdia,5
2020-10-17,Amen Bank (AB),Gabès,6
2020-10-17,Arab Tunisian Bank (ATB),Jendouba,6
2020-10-17,Banque Internationale Arabe de Tunisie (BIAT),Sousse,1
2020-10-17,Banque Tuniso-Libyenne (BTL),Siliana,8
2020-10-17,Banque de Tunisie (BT),Kebili,4
2020-10-17,Banque de l'Habitat (BH),Monastir,3
2020-10-18,Amen Bank (AB),Manouba,7
2020-10-18,Arab Banking Corporation (ABC),Kairouan,4
2020-10-18,Banque Nationale Agricole (BNA),Gafsa,7
2020-10-18,Banque Internationale Arabe de Tunisie (BIAT),Monastir,8
2020-10-18,Banque Internationale Arabe de Tunisie (BIAT),Monastir,1
2020-10-18,Banque de l'Habitat (BH),Kairouan,1
2020-10-18,Banque Internationale Arabe de Tunisie (BIAT),Siliana,7
2020-10-19,Banque de Tunisie (BT),Manouba,7
2020-10-19,Banque Tuniso-Libyenne (BTL),Nabeul,7
2020-10-19,Attijari Bank,Mahdia,8
2020-10-19,Amen Bank (AB),Manouba,5
2020-10-19,Arab Banking Corporation (ABC),Kairouan,7
2020-10-19,Banque de l'Habitat (BH),Nabeul,4
2020-10-20,Banque Nationale Agricole (BNA),Kairouan,3
2020-10-20,Attijari Bank,Jendouba,8
2020-10-20,Banque Nationale Agricole (BNA),Tozeur,6
2020-10-20,La Poste Tunisienne,Tozeur,4
2020-10-20,Arab Banking Corporation (ABC),Sousse,1
2020-10-20,La Poste Tunisienne,Bizerte,7
2020-10-20,Banque de l'Habitat (BH),Sousse,4
2020-10-20,Banque Internationale Arabe de Tunisie (BIAT),Sfax,8
2020-10-20,Banque Nationale Agricole (BNA),Bizerte,8
2020-10-21,Banque Nationale Agricole (BNA),Tozeur,3
2020-10-21,Banque Tuniso-Libyenne (BTL),Sidi Bouzid,8
2020-10-21,Banque de Tunisie (BT),Gabès,4
2020-10-21,Arab Banking Corporation (ABC),Kasserine,7
2020-10-21,Amen Bank (AB),Monastir,7
2020-10-21,Arab Tunisian Bank (ATB),Sfax,1
2020-10-22,La Poste Tunisienne,Ben Arous,4
2020-10-22,Banque Nationale Agricole (BNA),Gabès,7
2020-10-22,Banque Nationale Agricole (BNA),Mahdia,5
2020-10-22,Banque Internationale Arabe de Tunisie (BIAT),Jendouba,2
2020-10-23,Arab Banking Corporation (ABC),Gafsa,1
2020-10-23,Banque de l'Habitat (BH),Ariana,5
2020-10-23,Banque de Tunisie (BT),Jendouba,4
2020-10-23,Arab Banking Corporation (ABC),Tataouine,8
2020-10-23,Amen Bank (AB),Zaghouan,3
2020-10-23,La Poste Tunisienne,Nabeul,4
2020-10-23,Banque Tuniso-Libyenne (BTL),Sfax,3
2020-10-24,Banque de Tunisie (BT),Sfax,2
2020-10-24,Amen Bank (AB),Medenine,2
2020-10-24,La Poste Tunisienne,Zaghouan,5
2020-10-24,Arab Tunisian Bank (ATB),Kef,7
2020-10-24,Banque de Tunisie (BT),Ben Arous,3
2020-10-25,Arab Tunisian Bank (ATB),Sousse,6
2020-10-25,Arab Tunisian Bank (ATB),Gabès,5
2020-10-25,Banque Internationale Arabe de Tunisie (BIAT),Nabeul,8
2020-10-25,Arab Banking Corporation (ABC),Tunis,4
2020-10-26,La Poste Tunisienne,Tataouine,5
2020-10-26,Banque Internationale Arabe de Tunisie (BIAT),Kairouan,1
2020-10-26,Banque de l'Habitat (BH),Sfax,6
2020-10-26,Attijari Bank,Béja,8
2020-10-26,Arab Tunisian Bank (ATB),Medenine,5
2020-10-26,Banque Tuniso-Libyenne (BTL),Manouba,5
2020-10-26,Banque Nationale Agricole (BNA),Sidi Bouzid,1
2020-10-26,La Poste Tunisienne,Kef,8
2020-10-26,Attijari Bank,Tozeur,7
2020-10-26,Arab Banking Corporation (ABC),Monastir,1
2020-10-26,Banque Internationale Arabe de Tunisie (BIAT),Sfax,3
2020-10-27,Attijari Bank,Sfax,7
2020-10-27,Banque de Tunisie (BT),Sfax,3
2020-10-27,Banque Internationale Arabe de Tunisie (BIAT),Tataouine,6
2020-10-27,Arab Tunisian Bank (ATB),Kebili,8
2020-10-27,Banque Tuniso-Libyenne (BTL),Ben Arous,2
2020-10-27,Banque Internationale Arabe de Tunisie (BIAT),Ariana,1
2020-10-27,Banque de Tunisie (BT),Ben Arous,6
2020-10-27,Arab Tunisian Bank (ATB),Sousse,7
2020-10-28,Attijari Bank,Tozeur,8
2020-10-28,Banque Internationale Arabe de Tunisie (BIAT),Kasserine,6
2020-10-28,Banque Internationale Arabe de Tunisie (BIAT),Tozeur,8
2020-10-28,Banque Tuniso-Libyenne (BTL),Gafsa,5
2020-10-29,Banque de l'Habitat (BH),Ben Arous,2
2020-10-29,Banque Tuniso-Libyenne (BTL),Kef,1
2020-10-30,Arab Banking Corporation (ABC),Tataouine,6
2020-10-30,Amen Bank (AB),Mahdia,4
2020-10-30,Attijari Bank,Gafsa,8
2020-10-30,Banque Nationale Agricole (BNA),Medenine,6
2020-10-30,Banque Internationale Arabe de Tunisie (BIAT),Monastir,4
2020-10-30,Attijari Bank,Medenine,7
2020-10-30,Banque Nationale Agricole (BNA),Kebili,8
2020-10-31,La Poste Tunisienne,Tozeur,2
2020-10-31,Banque de Tunisie (BT),Kef,4
2020-10-31,Arab Tunisian Bank (ATB),Nabeul,4
2020-10-31,Banque de l'Habitat (BH),Gafsa,1
2020-10-31,Arab Banking Corporation (ABC),Sousse,5
2020-10-31,Banque de Tunisie (BT),Kef,7
2020-11-01,Amen Bank (AB),Nabeul,2
2020-11-01,Arab Banking Corporation (ABC),Gabès,3
2020-11-01,Banque de Tunisie (BT),Bizerte,2
2020-11-02,Amen Bank (AB),Zaghouan,3
2020-11-02,Banque de l'Habitat (BH),Nabeul,4
2020-11-02,Banque de Tunisie (BT),Kairouan,1
2020-11-02,Banque Internationale Arabe de Tunisie (BIAT),Siliana,2
2020-11-02,Attijari Bank,Kebili,1
2020-11-02,Arab Banking Corporation (ABC),Kef,8
2020-11-02,Banque Internationale Arabe de Tunisie (BIAT),Zaghouan,3
2020-11-02,La Poste Tunisienne,Sidi Bouzid,4
2020-11-02,Banque de l'Habitat (BH),Kebili,3
2020-11-02,Amen Bank (AB),Sfax,1
2020-11-02,Banque de Tunisie (BT),Ariana,5
2020-11-02,Banque Tuniso-Libyenne (BTL),Sfax,6
2020-11-03,La Poste Tunisienne,Tozeur,8
2020-11-03,Banque de l'Habitat (BH),Tozeur,1
2020-11-03,Arab Banking Corporation (ABC),Jendouba,8
2020-11-04,Banque de Tunisie (BT),Kairouan,3
2020-11-04,Arab Banking Corporation (ABC),Sousse,7
2020-11-04,Banque Tuniso-Libyenne (BTL),Sousse,4
2020-11-04,Banque de l'Habitat (BH),Gafsa,2
2020-11-04,Attijari Bank,Jendouba,7
2020-11-04,Arab Tunisian Bank (ATB),Kasserine,4
2020-11-04,Attijari Bank,Mahdia,4
2020-11-04,Arab Tunisian Bank (ATB),Jendouba,4
2020-11-05,Banque Tuniso-Libyenne (BTL),Ben Arous,8
2020-11-05,Attijari Bank,Medenine,6
2020-11-05,Banque de l'Habitat (BH),Gabès,7
2020-11-05,Banque Tuniso-Libyenne (BTL),Gafsa,5
2020-11-05,Banque Nationale Agricole (BNA),Kebili,5
2020-11-06,Amen Bank (AB),Nabeul,2
2020-11-07,Banque de Tunisie (BT),Medenine,1
2020-11-07,Banque de Tunisie (BT),Sousse,5
2020-11-07,Amen Bank (AB),Manouba,3
2020-11-07,Arab Banking Corporation (ABC),Bizerte,7
2020-11-07,Attijari Bank,Nabeul,1
2020-11-08,Banque Internationale Arabe de Tunisie (BIAT),Kebili,2
2020-11-08,Banque de Tunisie (BT),Tunis,4
2020-11-08,Arab Banking Corporation (ABC),Tunis,6
2020-11-09,Banque de Tunisie (BT),Mahdia,4
2020-11-09,Arab Banking Corporation (ABC),Kasserine,8
2020-11-09,Banque Nationale Agricole (BNA),Mahdia,8
2020-11-09,Attijari Bank,Kebili,4
2020-11-09,Banque Nationale Agricole (BNA),Kef,4
2020-11-10,Banque Internationale Arabe de Tunisie (BIAT),Ariana,5
2020-11-10,La Poste Tunisienne,Medenine,6
2020-11-10,Arab Banking Corporation (ABC),Ariana,6
2020-11-10,La Poste Tunisienne,Gabès,7
2020-11-11,Arab Banking Corporation (ABC),Siliana,8
2020-11-11,Banque de Tunisie (BT),Nabeul,5
2020-11-11,Banque Internationale Arabe de Tunisie (BIAT),Tozeur,3
2020-11-12,Arab Banking Corporation (ABC),Siliana,5
2020-11-13,Arab Banking Corporation (ABC),Medenine,2
2020-11-13,Amen Bank (AB),Jendouba,3
2020-11-13,Amen Bank (AB),Mahdia,2
2020-11-13,Banque Tuniso-Libyenne (BTL),Tataouine,2
2020-11-13,Banque Tuniso-Libyenne (BTL),Monastir,8
2020-11-13,La Poste Tunisienne,Tataouine,6
2020-11-14,Arab Banking Corporation (ABC),Nabeul,3
2020-11-14,Banque de l'Habitat (BH),Sidi Bouzid,5
2020-11-14,Amen Bank (AB),Tozeur,3
2020-11-14,Amen Bank (AB),Nabeul,3
2020-11-14,Banque de l'Habitat (BH),Zaghouan,5
2020-11-14,Arab Tunisian Bank (ATB),Kebili,3
2020-11-14,Banque Internationale Arabe de Tunisie (BIAT),Nabeul,8
2020-11-14,Banque de l'Habitat (BH),Nabeul,2
2020-11-15,La Poste Tunisienne,Béja,7
2020-11-15,Arab Banking Corporation (ABC),Kairouan,7
2020-11-15,La Poste Tunisienne,Sousse,4
2020-11-15,Banque Nationale Agricole (BNA),Siliana,6
2020-11-16,Banque Tuniso-Libyenne (BTL),Sidi Bouzid,4
2020-11-16,Amen Bank (AB),Sousse,4
2020-11-16,Banque Tuniso-Libyenne (BTL),Béja,7
2020-11-16,Banque Nationale Agricole (BNA),Siliana,5
2020-11-16,Banque Tuniso-Libyenne (BTL),Tataouine,4
2020-11-16,Arab Tunisian Bank (ATB),Ariana,8
2020-11-16,Arab Tunisian Bank (ATB),Kebili,8
2020-11-17,Amen Bank (AB),Nabeul,6
2020-11-17,La Poste Tunisienne,Kairouan,7
2020-11-17,Attijari Bank,Mahdia,8
2020-11-17,Amen Bank (AB),Tozeur,4
2020-11-18,Arab Banking Corporation (ABC),Tunis,3
2020-11-18,Banque Nationale Agricole (BNA),Tozeur,4
2020-11-18,Banque de l'Habitat (BH),Manouba,7
2020-11-18,Banque Tuniso-Libyenne (BTL),Kebili,5
2020-11-18,Banque de Tunisie (BT),Monastir,3
2020-11-18,Banque Internationale Arabe de Tunisie (BIAT),Monastir,5
2020-11-19,Banque Nationale Agricole (BNA),Gabès,7
2020-11-19,Banque Nationale Agricole (BNA),Siliana,4
2020-11-19,Amen Bank (AB),Sousse,5
2020-11-19,Banque Nationale Agricole (BNA),Gabès,3
2020-11-19,Attijari Bank,Béja,7
2020-11-19,Attijari Bank,Kasserine,8
2020-11-20,Banque de l'Habitat (BH),Jendouba,7
2020-11-20,Attijari Bank,Manouba,2
2020-11-20,Banque Nationale Agricole (BNA),Ariana,6
2020-11-20,Banque Nationale Agricole (BNA),Mahdia,1
2020-11-20,Amen Bank (AB),Kebili,1
2020-11-20,Arab Tunisian Bank (ATB),Monastir,7
2020-11-21,Banque Internationale Arabe de Tunisie (BIAT),Ben Arous,2
2020-11-21,Banque de Tunisie (BT),Siliana,5
2020-11-21,Banque de Tunisie (BT),Sousse,3
2020-11-21,Banque Tuniso-Libyenne (BTL),Zaghouan,4
2020-11-21,Arab Tunisian Bank (ATB),Gafsa,3
2020-11-21,Banque Internationale Arabe de Tunisie (BIAT),Mahdia,7
2020-11-21,Arab Banking Corporation (ABC),Nabeul,8
2020-11-21,Arab Banking Corporation (ABC),Kasserine,8
2020-11-21,La Poste Tunisienne,Gafsa,6
2020-11-21,La Poste Tunisienne,Siliana,6
2020-11-22,Amen Bank (AB),Nabeul,6
2020-11-22,Banque Tuniso-Libyenne (BTL),Mahdia,3
2020-11-22,Banque Internationale Arabe de Tunisie (BIAT),Kasserine,1
2020-11-22,Banque Internationale Arabe de Tunisie (BIAT),Monastir,8
2020-11-22,Banque de l'Habitat (BH),Kef,3
2020-11-22,Arab Banking Corporation (ABC),Ariana,6
2020-11-22,Banque Nationale Agricole (BNA),Ariana,7
2020-11-23,Banque de l'Habitat (BH),Zaghouan,5
2020-11-23,Banque de Tunisie (BT),Gabès,3
2020-11-23,Attijari Bank,Kebili,8
2020-11-23,Amen Bank (AB),Ariana,5
2020-11-23,Banque de Tunisie (BT),Zaghouan,3
2020-11-23,Banque Tuniso-Libyenne (BTL),Bizerte,4
2020-11-24,La Poste Tunisienne,Kasserine,5
2020-11-24,Attijari Bank,Sidi Bouzid,6
2020-11-25,Attijari Bank,Gafsa,6
2020-11-25,Banque Nationale Agricole (BNA),Kairouan,5
2020-11-25,Banque Internationale Arabe de Tunisie (BIAT),Kasserine,4
2020-11-25,Arab Tunisian Bank (ATB),Jendouba,7
2020-11-25,Banque Nationale Agricole (BNA),Tozeur,1
2020-11-25,Arab Tunisian Bank (ATB),Kairouan,8
2020-11-25,Banque Nationale Agricole (BNA),Kebili,5
2020-11-26,Arab Banking Corporation (ABC),Kebili,8
2020-11-26,Banque Nationale Agricole (BNA),Jendouba,1
2020-11-26,Banque Tuniso-Libyenne (BTL),Ariana,3
2020-11-26,Banque Nationale Agricole (BNA),Bizerte,8
2020-11-26,Arab Tunisian Bank (ATB),Sousse,6
2020-11-26,La Poste Tunisienne,Tozeur,6
2020-11-26,Attijari Bank,Sfax,5
2020-11-26,Banque Nationale Agricole (BNA),Gabès,3
2020-11-27,Banque Internationale Arabe de Tunisie (BIAT),Tunis,3
2020-11-27,Arab Banking Corporation (ABC),Gabès,1
2020-11-27,Amen Bank (AB),Manouba,6
2020-11-27,Banque de Tunisie (BT),Monastir,2
2020-11-27,Banque Nationale Agricole (BNA),Kasserine,6
2020-11-27,Arab Tunisian Bank (ATB),Ariana,8
2020-11-27,Arab Banking Corporation (ABC),Béja,2
2020-11-27,Banque Tuniso-Libyenne (BTL),Monastir,5
2020-11-27,Banque de Tunisie (BT),Sidi Bouzid,3
2020-11-27,Attijari Bank,Béja,3
2020-11-28,La Poste Tunisienne,Jendouba,1
2020-11-28,Arab Tunisian Bank (ATB),Kef,4
2020-11-28,Banque Nationale Agricole (BNA),Jendouba,3
2020-11-28,Arab Banking Corporation (ABC),Sfax,1
2020-11-28,Banque de Tunisie (BT),Kasserine,1
2020-11-28,Banque Internationale Arabe de Tunisie (BIAT),Ben Arous,1
2020-11-28,Banque de l'Habitat (BH),Mahdia,1
2020-11-28,Banque Internationale Arabe de Tunisie (BIAT),Sousse,8
2020-11-28,Banque Internationale Arabe de Tunisie (BIAT),Nabeul,4
2020-11-29,Banque Tuniso-Libyenne (BTL),Sfax,2
2020-11-29,Banque de Tunisie (BT),Tunis,5
2020-11-29,Banque de Tunisie (BT),Tataouine,6
2020-11-29,Arab Tunisian Bank (ATB),Kairouan,3
2020-11-29,La Poste Tunisienne,Jendouba,3
2020-11-29,Banque Tuniso-Libyenne (BTL),Sfax,3
2020-11-29,Arab Banking Corporation (ABC),Mahdia,2
2020-11-29,Banque de Tunisie (BT),Sfax,4
2020-11-29,Attijari Bank,Tunis,1
2020-11-29,Banque de l'Habitat (BH),Sfax,1
2020-11-29,Attijari Bank,Zaghouan,2
2020-11-29,Banque Internationale Arabe de Tunisie (BIAT),Jendouba,2
2020-11-30,Arab Tunisian Bank (ATB),Sousse,5
2020-11-30,La Poste Tunisienne,Kasserine,7
2020-11-30,Banque Tuniso-Libyenne (BTL),Béja,3
2020-11-30,Banque de Tunisie (BT),Manouba,4
2020-11-30,Banque Nationale Agricole (BNA),Mahdia,2
2020-11-30,Amen Bank (AB),Tunis,1
2020-11-30,Arab Tunisian Bank (ATB),Tunis,5
2020-11-30,Banque Tuniso-Libyenne (BTL),Sfax,7
2020-12-01,La Poste Tunisienne,Sfax,2
2020-12-01,Banque de l'Habitat (BH),Ben Arous,7
2020-12-01,Banque de Tunisie (BT),Sousse,5
2020-12-01,Banque Nationale Agricole (BNA),Nabeul,6
2020-12-01,Arab Banking Corporation (ABC),Sfax,5
2020-12-01,Arab Banking Corporation (ABC),Mahdia,5
2020-12-02,Amen Bank (AB),Bizerte,6
2020-12-02,Banque de Tunisie (BT),Medenine,4
2020-12-02,Banque de l'Habitat (BH),Bizerte,6
2020-12-02,Amen Bank (AB),Sousse,8
2020-12-02,Banque de Tunisie (BT),Siliana,1
2020-12-02,Banque de Tunisie (BT),Kebili,6
2020-12-02,Attijari Bank,Sousse,8
2020-12-02,La Poste Tunisienne,Medenine,6
2020-12-03,Attijari Bank,Zaghouan,7
2020-12-03,Banque de l'Habitat (BH),Sidi Bouzid,3
2020-12-03,Arab Tunisian Bank (ATB),Gafsa,4
2020-12-03,Banque Internationale Arabe de Tunisie (BIAT),Sousse,3
2020-12-03,Arab Tunisian Bank (ATB),Bizerte,2
2020-12-04,Banque Internationale Arabe de Tunisie (BIAT),Nabeul,8
2020-12-04,Banque de Tunisie (BT),Gafsa,6
2020-12-04,La Poste Tunisienne,Zaghouan,2
2020-12-04,Banque Nationale Agricole (BNA),Béja,4
2020-12-04,Banque de Tunisie (BT),Siliana,5
2020-12-05,Arab Banking Corporation (ABC),Kairouan,6
2020-12-05,Banque Nationale Agricole (BNA),Manouba,7
2020-12-05,Attijari Bank,Gafsa,5
2020-12-05,Arab Banking Corporation (ABC),Monastir,6
2020-12-05,Arab Banking Corporation (ABC),Sousse,1
2020-12-05,Banque Tuniso-Libyenne (BTL),Tozeur,8
2020-12-05,Banque Nationale Agricole (BNA),Ariana,5
2020-12-05,Banque Internationale Arabe de Tunisie (BIAT),Kef,7
2020-12-05,Banque Nationale Agricole (BNA),Nabeul,1
2020-12-06,Banque de Tunisie (BT),Siliana,6
2020-12-06,Banque Nationale Agricole (BNA),Manouba,6
2020-12-06,Banque Nationale Agricole (BNA),Siliana,7
2020-12-06,Attijari Bank,Gabès,5
2020-12-06,Banque de Tunisie (BT),Jendouba,1
2020-12-06,La Poste Tunisienne,Kef,6
2020-12-06,Amen Bank (AB),Tozeur,3
2020-12-06,Arab Banking Corporation (ABC),Kef,3
2020-12-06,Arab Banking Corporation (ABC),Monastir,6
2020-12-06,Banque Tuniso-Libyenne (BTL),Kairouan,1
2020-12-06,Arab Tunisian Bank (ATB),Sidi Bouzid,8
2020-12-07,Arab Tunisian Bank (ATB),Tataouine,2
2020-12-07,Banque de l'Habitat (BH),Nabeul,5
2020-12-07,Amen Bank (AB),Ben Arous,8
2020-12-07,Banque de Tunisie (BT),Ariana,2
2020-12-07,Banque de l'Habitat (BH),Gafsa,2
2020-12-07,Banque de l'Habitat (BH),Sfax,7
2020-12-08,La Poste Tunisienne,Jendouba,6
2020-12-08,Banque de l'Habitat (BH),Sousse,6
2020-12-08,Banque de Tunisie (BT),Tataouine,1
2020-12-09,Amen Bank (AB),Tataouine,1
2020-12-09,Banque Internationale Arabe de Tunisie (BIAT),Bizerte,1
2020-12-09,Arab Tunisian Bank (ATB),Kef,5
2020-12-09,Arab Banking Corporation (ABC),Tozeur,3
2020-12-09,Arab Tunisian Bank (ATB),Jendouba,7
2020-12-09,Arab Banking Corporation (ABC),Manouba,7
